       x:             u(x):          v(x):        log10(RelativeError):   
     0.49350649     0.49958112     -492.97757     -3.2914936
     0.49450549     0.49865025     -493.97753     -3.2964952
     0.49550450     0.49771867     -494.97748     -3.3015621
     0.49650350     0.49678639     -495.97744     -3.3066961
     0.49750250     0.49585342     -496.97739     -3.3118988
     0.49850150     0.49491977     -497.97735     -3.3171724
     0.49950050     0.49398545     -498.97730     -3.3225186
     0.50049950     0.49305045     -499.97725     -3.3279395
     0.50149850     0.49211479     -500.97721     -3.3334373
     0.50249750     0.49117848     -501.97716     -3.3390141
     0.50349650     0.49024152     -502.97712     -3.3446723
     0.50449550     0.48930391     -503.97707     -3.3504142
     0.50549451     0.48836566     -504.97703     -3.3562423
     0.50649351     0.48742679     -505.97698     -3.3621593
     0.50749251     0.48648729     -506.97694     -3.3681679
     0.50849151     0.48554718     -507.97689     -3.3742709
     0.50949051     0.48460645     -508.97685     -3.3804713
     0.51048951     0.48366511     -509.97680     -3.3867722
     0.51148851     0.48272318     -510.97676     -3.3931770
     0.51248751     0.48178066     -511.97671     -3.3996889
     0.51348651     0.48083754     -512.97666     -3.4063117
     0.51448551     0.47989385     -513.97662     -3.4130491
     0.51548452     0.47894958     -514.97657     -3.4199050
     0.51648352     0.47800473     -515.97653     -3.4268837
     0.51748252     0.47705933     -516.97648     -3.4339894
     0.51848152     0.47611337     -517.97644     -3.4412269
     0.51948052     0.47516685     -518.97639     -3.4486010
     0.52047952     0.47421978     -519.97635     -3.4561168
     0.52147852     0.47327218     -520.97630     -3.4637798
     0.52247752     0.47232403     -521.97626     -3.4715957
     0.52347652     0.47137536     -522.97621     -3.4795706
     0.52447552     0.47042616     -523.97617     -3.4877109
     0.52547453     0.46947643     -524.97612     -3.4960235
     0.52647353     0.46852620     -525.97607     -3.5045156
     0.52747253     0.46757545     -526.97603     -3.5131949
     0.52847153     0.46662420     -527.97598     -3.5220697
     0.52947053     0.46567244     -528.97594     -3.5311487
     0.53046953     0.46472019     -529.97589     -3.5404413
